,index,id,target,enzyme,pathway,smile,name
101,101,DB01355,P14867|P47869|P34903|P48169|P31644|Q16445|P43681|P36544|P42262|Q13002,P33261|P11712|P23219|P05181|P05177|P08684,hsa:2554|hsa:2555|hsa:2556|hsa:2557|hsa:2558|hsa:2559|hsa:1137|hsa:1139|hsa:2891|hsa:2898,CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,Hexobarbital
102,102,DB01204,P11388,P05181|Q16678|P08684,hsa:7153,OCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=O)C1=C(C(O)=CC=C1O)C2=O,Mitoxantrone
103,103,DB13956,P03372|O75469|Q92731|P43681|Q15596|Q99527|P00846|Q14457|P37059|P62508,P05177|P22309|P08684|P20815|P24462|P04798|Q16678|P33261|P10632|P11712,hsa:2099|hsa:8856|hsa:2100|hsa:1137|hsa:10499|hsa:2852|hsa:4508|hsa:8678|hsa:3294|hsa:2104,[H][C@@]12CC[C@H](OC(=O)CCCC)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,Estradiolvalerate
104,104,DB00476,P31645|P23975|Q01959,P05177|P10635,hsa:6532|hsa:6530|hsa:6531,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,Duloxetine
105,105,DB06702,P20309|P08173|P11229|P08172|P08912,P08684|P10635,hsa:1131|hsa:1132|hsa:1128|hsa:1129|hsa:1133,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C,Fesoterodine
106,106,DB00215,P31645|P35367|P35348|P11229|P28335,P08684|P33261|P10635|P05181|P05177|P20813,hsa:6532|hsa:3269|hsa:148|hsa:1128|hsa:3358,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,Citalopram
107,107,DB00264,P08588|P07550,P10635|P33261,hsa:153|hsa:154,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,Metoprolol
108,108,DB00390,P05023,P05108|P08684,hsa:476,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,Digoxin
109,109,DB00924,P28223,P05177|P08684|P10635,hsa:3356,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12,Cyclobenzaprine
110,110,DB00544,P04818,P11712|P05177|P19971|Q12882|Q16831|O95045|P11509|P10632|P42898|P04818|P11172|Q06203,hsa:7298,FC1=CNC(=O)NC1=O,Fluorouracil
111,111,DB00280,Q14524|P11229|P08172|P20309|Q9NZV8|Q9UK17|Q12809|P19652,P08684,hsa:6331|hsa:1128|hsa:1129|hsa:1131|hsa:3751|hsa:3752|hsa:3757|hsa:5005,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,Disopyramide
112,112,DB00333,P35372|Q8TCU5|Q9GZZ6|P41143|P46098|Q9Y6Y9|P19652,P08684|P33261|P20815|P24462|P10635|P20813|P10632|P11511|P05177|P33260|P11712,hsa:4988|hsa:116443|hsa:57053|hsa:4985|hsa:3359|hsa:23643|hsa:5005,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,Methadone
113,113,DB00574,P31645|P41595|P28335|P28223,P10635,hsa:6532|hsa:3357|hsa:3358|hsa:3356,CCNC(C)CC1=CC=CC(=C1)C(F)(F)F,Fenfluramine
114,114,DB01026,P10613|P10275|P08686|P11511|Q12809|O75469|Q14994,P08684|P10635|P11712|P33261|P20815|P24462|P10632|P05177|P04798|P05108|P15538|Q16678|O43174|P11509|P20813|Q16850,hsa:367|hsa:1589|hsa:1588|hsa:3757|hsa:8856|hsa:9970,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,Ketoconazole
115,115,DB00332,P11229|P08172|P20309,P10635|P08684,hsa:1128|hsa:1129|hsa:1131,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C,Ipratropiumbromide
116,116,DB01170,P23975,P08684,hsa:6530,NC(N)=NCCN1CCCCCCC1,Guanethidine
117,117,DB09555,P35367,P10635|P08684,hsa:3269,OC(=O)\C=C/C(O)=O.CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1,Dexchlorpheniraminemaleate
118,118,DB08868,Q9H228|Q13547,P78329|Q9NYA1|P10635|P05181|P08684|Q9HCS2,hsa:53637|hsa:3065,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,Fingolimod
119,119,DB06262,P35348|P35368|P25100|P08913|P18089|P18825|P08588|P07550|P13945|P00439,P20711,hsa:148|hsa:147|hsa:146|hsa:150|hsa:151|hsa:152|hsa:153|hsa:154|hsa:155|hsa:5053,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O,Droxidopa
120,120,DB00320,P28221|P28222|P08913|P41595,P08684,hsa:3352|hsa:3351|hsa:150|hsa:3357,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,Dihydroergotamine
121,121,DB01253,P35348,P08684,hsa:148,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](C)CO,Ergonovine
122,122,DB00115,Q99707|P22033|Q9UBK8|Q8IVH4|Q9Y4U1|P42898,Q96EY8|P22033|Q99707|Q05599,hsa:4548|hsa:4594|hsa:4552|HAS:166875|hsa:25974|hsa:4524,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,Cyanocobalamin
123,123,DB01086,Q9Y5Y9,P23141,hsa:6336,CCOC(=O)C1=CC=C(N)C=C1,Benzocaine
124,124,DB00531,O75469,P20813|P11712|P08684|P33261|P11509|P33260|P10632|P10635|P24462|P20815,hsa:8856,ClCCN(CCCl)P1(=O)NCCCO1,Cyclophosphamide
125,125,DB00987,P06746,P32320|P08684|P27707|P21589|P32321,hsa:5423,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Cytarabine
126,126,DB01167,P50859|Q16850,P20815|P24462|P08684|P10635|P20813|P04798|P05181,hsa:1595,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,Itraconazole
127,127,DB01628,P35354,P08684|P11712|P10635|P05177|P33261|P05181,hsa:5743,CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O,Etoricoxib
128,128,DB00835,P35367|P11229|P08172|P20309|P08173|P08912,P20813|P33261|P10632|P11712|P10635|P05181|P08684,hsa:3269|hsa:1128|hsa:1129|hsa:1131|hsa:1132|hsa:1133,CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1,Brompheniramine
129,129,DB00619,A9UF02|P10721|O43519|P04629|P07333|P16234|Q08345|P00519|P09619,P08684|P20815|P24462|P05177|P11712|P10635|P33261|P23219,hsa:3815|hsa:4914|hsa:1436|hsa:5156|hsa:780|hsa:25|hsa:5159,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,Imatinib
130,130,DB01396,P05023,P08684|P05108,hsa:476,[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)C1=CC(=O)OC1,Digitoxin
131,131,DB01611,Q9NYK1|Q9NR96,P10635,hsa:51284|hsa:54106,CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,Hydroxychloroquine
132,132,DB06605,P00742,P08684|P05177|P10632|P11712|P33261|P51589|P20815,hsa:2159,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,Apixaban
133,133,DB01242,P31645|P28223|P41595|P28335|P23975|P09211,P10635|P33261|P05177|P08684,hsa:6532|hsa:3356|hsa:3357|hsa:3358|hsa:6530|hsa:2950,CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2,Clomipramine
134,134,DB00290,P18858|P49916,Q13867,hsa:3978|hsa:3980,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,Bleomycin
135,135,DB00875,P14416|P28223|P21728|P35348|P11229,P20711,hsa:1813|hsa:3356|hsa:1812|hsa:148|hsa:1128,[H]\C(CCN1CCN(CCO)CC1)=C1/C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F,Flupentixol
136,136,DB09049,P35372,P08684|P10635|P33261,hsa:4988,COCCOCCOCCOCCOCCOCCOCCO[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC=C)[C@H]1O5,Naloxegol
137,137,DB00712,P23219|P35354,P11712|P16662|P22309|P35503|O60656|P06133,hsa:5742|hsa:5743,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,Flurbiprofen
138,138,DB01171,P21397|BE0004909|P27338,P21397|P27338|P33261|P10635|P05177|P11712,hsa:4128|hsa:4129,ClC1=CC=C(C=C1)C(=O)NCCN1CCOCC1,Moclobemide
139,139,DB00969,P46098,P11712|P08684|P05177|P05181,hsa:3359,CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2,Alosetron
140,140,DB01576,Q05940|P23975|Q01959|Q96RJ0|P35348|P35368,P10635,hsa:6571|hsa:6530|hsa:6531|hsa:134864|hsa:148|hsa:147,C[C@H](N)CC1=CC=CC=C1,Dextroamphetamine
141,141,DB09031,P08183,Q13393,hsa:5243,CCCCCCCCCCCCCCCCOP([O-])(=O)OCC[N+](C)(C)C,Miltefosine
142,142,DB01016,BE0008670|P48544|O60706|O95342|O95477|P13569|BE0004923|P50416,P33261|P08684|P11712,hsa:3762|hsa:10060|hsa:8647|hsa:19|hsa:1080|hsa:1374,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,Glyburide
143,143,DB01320,Q14524,P11712|P10632|P33261|P08684|P20813,hsa:6331,OP(O)(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1,Fosphenytoin
144,144,DB14011,P21554|P34972|P47775|P23415|BE0004857|O75311|Q14330|Q9Y2T6|P08908|P28223|P36544|P41143|P35372|P37231|Q8NER1|O43497|O95180|Q9P0X4|O75762|Q7Z2W7|Q9Y5S1|Q8NET8|Q9HBA0|P21796,P11712|P33261|P10635|P08684|P20815|P24752|F1T0I5|P04040|P23219|P35354|P24462|P04798|P05177|Q16678|F5GY58|O00519|P00390|P07203|P04035|P14902|P09917|P16050|Q02083|Q08257|Q6IQ20|P04054|P05093|P00441|P17405,hsa:1268|hsa:1269|hsa:2835|hsa:2741|hsa:8001|hsa:2841|hsa:9290|hsa:3350|hsa:3356|hsa:1139|hsa:4985|hsa:4988|hsa:5468|hsa:7442|hsa:8913|hsa:8912|hsa:8911|hsa:8989|hsa:79054|hsa:51393|hsa:162514|hsa:59341|hsa:7416,[H][C@]1(CCC(C)=C[C@@]1([H])C1=C(O)C=C(CCCCC)C=C1O)C(C)=C.[H][C@@]12CCC(C)=C[C@@]1([H])C1=C(O)C=C(CCCCC)C=C1OC2(C)C,Nabiximols
145,145,DB00998,P28221|P28222,P05177,hsa:3352|hsa:3351,CN[C@@H]1CCC2=C(C1)C1=C(N2)C=CC(=C1)C(N)=O,Frovatriptan
146,146,DB00176,P31645|Q12809,P10635|P05177|P05181|P04798|P08684|P20815|P24462|P11712|P33261|P20813,hsa:6532|hsa:3757,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,Fluvoxamine
147,147,DB00603,P06401|P03372,P08684|P10632|P26439|P11712,hsa:5241|hsa:2099,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,Medroxyprogesteroneacetate
148,148,DB01407,P07550|P08588|P13945|P01138|P01375,P04798|P05177,hsa:154|hsa:153|hsa:155|hsa:4803|hsa:7124,CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,Clenbuterol
149,149,DB00673,P25103,P08684|P20815|P24462|P05177|P33261|P11712,hsa:6869,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,Aprepitant
150,150,DB13955,P03372|O75469|Q92731|P43681|Q15596|Q99527|P00846|Q14457|P37059|P62508,P05177|P22309|P08684|P20815|P24462|P04798|Q16678|P33261|P10632|P11712,hsa:2099|hsa:8856|hsa:2100|hsa:1137|hsa:10499|hsa:2852|hsa:4508|hsa:8678|hsa:3294|hsa:2104,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(OC(=O)CCCCCC)=CC=C4[C@H]3CC[C@]12C,Estradioldienanthate
151,151,DB01183,P35372|P41143|P41145|P16220|P03372|O00206|P23141,P10632|P08684,hsa:4988|hsa:4985|hsa:4986|hsa:1385|hsa:2099|hsa:7099|hsa:1066,OC1=CC=C2C[C@H]3N(CC=C)CC[C@@]45[C@@H](OC1=C24)C(=O)CC[C@@]35O,Naloxone
152,152,DB00945,P23219|P35354|Q04828|Q13131|P25101|O14920|P04637|P11021|P51812|P25963|Q00653,P33261|P10632|P11712,hsa:5742|hsa:5743|hsa:1645|hsa:5562|hsa:1909|hsa:3551|hsa:7157|hsa:3309|hsa:6197|hsa:4792|hsa:4791,CC(=O)OC1=CC=CC=C1C(O)=O,Acetylsalicylicacid
153,153,DB06263,P11388,P16435|P16152,hsa:7153,[H][C@@]1(C[C@@](N)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O)O[C@H]1C[C@H](O)[C@H](O)CO1,Amrubicin
154,154,DB00695,Q13621|P00918,P52209,hsa:6557|hsa:760,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,Furosemide
155,155,DB09282,P33402,P33402|O76074,hsa:2977,CCOC(=O)[N-]C1=C[N+](=NO1)N1CCOCC1,Molsidomine
156,156,DB00494,P21964,P21964|O60656|P05177|P10635,hsa:1312,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,Entacapone
157,157,DB01068,BE0004797|P30536|O75469,P08684|P05181|P11245,hsa:706|hsa:8856,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,Clonazepam
158,158,DB00572,P11229|P08172|P20309|P08173|P08912|P23415|P43681|P17787,P05177,hsa:1128|hsa:1129|hsa:1131|hsa:1132|hsa:1133|hsa:2741|hsa:1137|hsa:1141,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,Atropine
159,159,DB00499,P10275|P35869|O75469,P08684|P05177|P04798|Q16678|P33261|P20815,hsa:367|hsa:196|hsa:8856,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,Flutamide
160,160,DB00358,P69905|P29274,P08684|P06276|P11511|P10635|P22303,"hsa:3039,hsa:3040|hsa:135",OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,Mefloquine
161,161,DB01151,P23975|P31645|P28223|P07550|P08588|P17405|P35367|BE0004863|P11229|P08172|P20309|P08173|P08912|P08908|P28335|P14416|BE0004864,P10635|P33261|P33260|P05177|P08684|P11509|P20813|P05181,hsa:6530|hsa:6532|hsa:3356|hsa:154|hsa:153|hsa:6609|hsa:3269|hsa:1128|hsa:1129|hsa:1131|hsa:1132|hsa:1133|hsa:3350|hsa:3358|hsa:1813,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12,Desipramine
162,162,DB00486,P34972|P21554,P05181|P08684|P10632|P11712,hsa:1269|hsa:1268,[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC,Nabilone
163,163,DB01410,P04150,P08684|P10635|P23141,hsa:2908,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(O[C@@H](O2)C1CCCCC1)C(=O)COC(=O)C(C)C,Ciclesonide
164,164,DB00804,P11229|P08172,P04798,hsa:1128|hsa:1129,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,Dicyclomine
165,165,DB00451,P10827|P10828,P10632|P08684,hsa:7067|hsa:7068,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,Levothyroxine
166,166,DB06230,P35372|P41145|P41143,P16662|P35503|Q9HAW9,hsa:4988|hsa:4986|hsa:4985,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C,Nalmefene
167,167,DB00643,Q71U36|P68371,P08684|P04798,hsa:7846|hsa:10383,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,Mebendazole
168,168,DB00865,Q05940|P08913|P35348|Q01959,P08684|P20813|P16435,hsa:6571|hsa:150|hsa:148|hsa:6531,C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1,Benzphetamine
169,169,DB00819,P00915|P00918|P22748|O43570|Q9ULX7|P07451|P43166|P29972,P08684,hsa:759|hsa:760|hsa:762|hsa:771|hsa:23632|hsa:761|hsa:766|hsa:358,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Acetazolamide
170,170,DB04841,O43497|O95180|Q9P0X4|P35367|P0DP23,P10635|P20813|P11712|P04798|P05177|P11509,"hsa:8913|hsa:8912|hsa:8911|hsa:3269|hsa:801,hsa:805,hsa:808",FC1=CC=C(C=C1)C(N1CCN(C\C=C\C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1,Flunarizine
171,171,DB00185,P20309|P11229,P10635|P08684|Q01740,hsa:1131|hsa:1128,CC1O[C@@]2(CS1)CN1CCC2CC1,Cevimeline
172,172,DB00439,P04035,P08684|P20815|P24462|P10632|P10635|P33261|P11712|P20813,hsa:3156,COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C,Cerivastatin
173,173,DB01544,P30536|P47869|P48169|P31644|Q16445|P34903|P14867|P28472|P18507,P33261|P16662|P05177|P11509|P20813|P11712|P08684|P05181|P22309|P35503,hsa:706|hsa:2555|hsa:2557|hsa:2558|hsa:2559|hsa:2556|hsa:2554|hsa:2562|hsa:2566,CN1C2=C(C=C(C=C2)[N+]([O-])=O)C(=NCC1=O)C1=CC=CC=C1F,Flunitrazepam
174,174,DB09078,P17948|P35968|P35916|P11362|P21802|P22607|P22455|P10721,P08684|Q06278,hsa:2321|hsa:3791|hsa:2324|hsa:2260|hsa:2263|hsa:2261|hsa:2264|hsa:3815,COC1=C(C=C2C(OC3=CC=C(NC(=O)NC4CC4)C(Cl)=C3)=CC=NC2=C1)C(N)=O,Lenvatinib
175,175,DB01357,P03372,P11712|P05177,hsa:2099,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC)C=C3,Mestranol
176,176,DB00528,Q06432,P24462|P08684|P20815|P10635,hsa:786,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=C1,Lercanidipine
177,177,DB09285,P09917|P35354|Q15722|P21731,P09917|P35354,hsa:240|hsa:5743|hsa:1241|hsa:6915,FC(F)(F)C1=CC(NC2=C(C=CC=N2)C(=O)OCCN2CCOCC2)=CC=C1,Morniflumate
178,178,DB00876,P30556,P11712,hsa:185,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,Eprosartan
179,179,DB06594,P28335|P48039|P49286,P05177|P11712,hsa:3358|hsa:4543|hsa:4544,COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1,Agomelatine
180,180,DB00170,P38435|Q9BQB6|Q8N0U8|P00734|P08709|P00740|P00742|P04070|P07225|P22891|P16083|P15559|P02818,P47989|Q06278|P05181|P42898|P04798|P05177|P11509,hsa:2677|hsa:79001|hsa:154807|hsa:2147|hsa:2155|hsa:2158|hsa:2159|hsa:5624|hsa:5627|hsa:8858|hsa:4835|hsa:1728|hsa:632,CC1=CC(=O)C2=CC=CC=C2C1=O,Menadione
181,181,DB01327,P02918|P02919|P76577|P0AD65|P0AD68|P27169|P40933|P60568,P51580,hsa:5444|hsa:3600|hsa:3558,[H][C@]12SCC(CSC3=NN=C(C)S3)=C(N1C(=O)[C@H]2NC(=O)CN1C=NN=N1)C(O)=O,Cefazolin
182,182,DB06700,P31645|P23975,P08684,hsa:6532|hsa:6530,CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1,Desvenlafaxine
183,183,DB00612,P08588|P07550,P08684|P10635,hsa:153|hsa:154,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,Bisoprolol
184,184,DB00593,O43497,P05181|P08684|Q9HB55|P20815|P24462,hsa:8913,CCC1(C)CC(=O)NC1=O,Ethosuximide
185,185,DB01259,P00533|P04626,P08684|P20815|P10632|P33261,hsa:1956|hsa:2064,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1,Lapatinib
186,186,DB01176,P35367|P49888,P11712,hsa:3269|hsa:6783,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,Cyclizine
187,187,DB00395,P14867|P47870|P18507,P33261,hsa:2554|hsa:2561|hsa:2566,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,Carisoprodol
188,188,DB00521,P07550|P08588,P10635,hsa:154|hsa:153,CC(C)(C)NCC(O)COC1=CC=CC2=C1CCC(=O)N2,Carteolol
189,189,DB00292,P14867|P18089|BE0004797,P15538|P19099|P11511,hsa:2554|hsa:151,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,Etomidate
190,190,DB00242,P23921|P31350|Q7LG56|P09884|Q07864|P56282|Q9NRF9|Q9NR33|P00491,P27707,hsa:6240|hsa:6241|hsa:50484|hsa:5422|hsa:5426|hsa:5427|hsa:54107|hsa:56655|hsa:4860,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,Cladribine
191,191,DB11148,Q06432|BE0004905,P06276,hsa:786,CCCCOC(=O)C1=CC=C(N)C=C1,Butamben
192,192,DB00392,P11229|Q8TCU5|P08172,P06276,hsa:1128|hsa:116443|hsa:1129,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12,Ethopropazine
193,193,DB08907,P31639|P13866,O60656|P06133|P08684,hsa:6524|hsa:6523,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1,Canagliflozin
194,194,DB06701,Q01959|P23975|P31645,P10635,hsa:6531|hsa:6530|hsa:6532,[H][C@@](C(=O)OC)(C1=CC=CC=C1)[C@@]1([H])CCCCN1,Dexmethylphenidate
195,195,DB00586,P35354|P23219|P09917|P35499|P78348|O43526|O43525|P14555,P11712|P33261|P05177|P10632|P22309|P16662|P23219|P08684|P04798|P20813|P33260|P05181,hsa:5743|hsa:5742|hsa:240|hsa:6329|hsa:41|hsa:3785|hsa:3786|hsa:5320,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Diclofenac
196,196,DB00317,P00533,P08684|P10635|P20815|P04798|P11712|P33261,hsa:1956,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,Gefitinib
197,197,DB01212,P0A3M6|Q9NSA0|Q4U2R8|Q8TCC7|P46059,P15104,hsa:55867|hsa:9356|hsa:9376|hsa:6564,[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,Ceftriaxone
198,198,DB12267,Q9UM73|P00533|P00519|P08069|P36888|P06213|P08581|Q15303|P04626,P10632|P08684,hsa:238|hsa:1956|hsa:25|hsa:3480|hsa:2322|hsa:3643|hsa:4233|hsa:2066|hsa:2064,COC1=CC(=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2P(C)(C)=O)=N1)N1CCC(CC1)N1CCN(C)CC1,Brigatinib
199,199,DB01097,Q02127|P35869|Q14289,P11712|P05177,hsa:1723|hsa:196|hsa:2185,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,Leflunomide
200,200,DB00228,BE0004797|BE0004857|O15554|Q09470|P98194|P42261|P30049,P05181,hsa:3783|hsa:3736|hsa:27032|hsa:2890|hsa:513,FC(F)OC(F)(F)C(F)Cl,Enflurane
201,201,DB00367,P06401|P18405|P03372|P10275|P04278,P08684|P11511,hsa:5241|hsa:6715|hsa:2099|hsa:367|hsa:6462,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],Levonorgestrel
202,202,DB00917,P43116|P34995|P43115|P35408|Q9Y5Y4,P05108|P11511|P05177,hsa:5732|hsa:5731|hsa:5733|hsa:5734|hsa:11251,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,Dinoprostone
